"","OBJECTID","FID","COUNT","AREA","MEAN"
"133",133,132,56,219542400,0.085377105910863
"134",134,133,64,250905600,0.083421538118273
"135",135,134,56,219542400,0.087847239071769
"136",136,135,64,250905600,0.085801352048293
"137",137,136,56,219542400,0.085942614025303
"138",138,137,64,250905600,0.086151660652831
"139",139,138,56,219542400,0.085193591990641
"140",140,139,49,192099600,0.0860105755986
"141",141,140,64,250905600,0.085464789764956
"142",142,141,56,219542400,0.085316538278546
"143",143,142,64,250905600,0.083811945049092
"144",144,143,64,250905600,0.084681663080119
"145",145,144,56,219542400,0.08571420303945
"146",146,145,64,250905600,0.085964903701097
"147",147,146,56,219542400,0.085890376142093
"148",148,147,64,250905600,0.085444332216866
"149",149,148,49,192099600,0.087136378397747
"150",150,149,56,219542400,0.086987974654351
"151",151,150,49,192099600,0.084658986907832
"152",152,151,56,219542400,0.082460686032261
"153",153,152,56,219542400,0.084065783103662
"154",154,153,49,192099600,0.085540728301418
"155",155,154,56,219542400,0.085718443750271
"156",156,155,49,192099600,0.085459064008022
"157",157,156,64,250905600,0.089391522225924
"158",158,157,56,219542400,0.088212950687323
"159",159,158,64,250905600,0.087750001926906
"160",160,159,56,219542400,0.086104639539761
"161",161,160,64,250905600,0.084592242958024
"162",162,161,64,250905600,0.085326093714684
"163",163,162,56,219542400,0.085989126004279
"164",164,163,64,250905600,0.085648068343289
"165",165,164,56,219542400,0.085112640368087
"166",166,165,49,192099600,0.092451274699094
"167",167,166,56,219542400,0.091483907507999
"168",168,167,49,192099600,0.090519095257837
"169",169,168,56,219542400,0.089395108632743
"170",170,169,49,192099600,0.087986254570436
"171",171,170,56,219542400,0.086819744402809
"172",172,171,56,219542400,0.086433780246547
"173",173,172,49,192099600,0.086612448248328
"174",174,173,56,219542400,0.086220615676471
"175",175,174,64,250905600,0.094635571702383
"176",176,175,56,219542400,0.094866886069732
"177",177,176,64,250905600,0.094071143539622
"178",178,177,56,219542400,0.09282706904092
"179",179,178,64,250905600,0.091116234660149
"180",180,179,56,219542400,0.089388977603189
"181",181,180,64,250905600,0.087503209011629
"182",182,181,64,250905600,0.086269382853061
"183",183,182,56,219542400,0.086768865452281
"184",184,183,56,219542400,0.095157143127705
"185",185,184,56,219542400,0.097239900912557
"186",186,185,49,192099600,0.098001314517187
"187",187,186,56,219542400,0.096647630445659
"188",188,187,49,192099600,0.094797184728846
"189",189,188,56,219542400,0.092629205169422
"190",190,189,49,192099600,0.090604779367544
"191",191,190,56,219542400,0.088819287052112
"192",192,191,56,219542400,0.087593552922564
"193",193,192,49,192099600,0.087560771375286
"194",194,193,64,250905600,0.091624152846634
"195",195,194,56,219542400,0.094506823191685
"196",196,195,64,250905600,0.096112339873798
"197",197,196,64,250905600,0.101714341668412
"198",198,197,56,219542400,0.101797585375607
"199",199,198,64,250905600,0.099309396697208
"200",200,199,56,219542400,0.0962443185438
"201",201,200,64,250905600,0.09289167902898
"202",202,201,56,219542400,0.090561543724367
"203",203,202,64,250905600,0.090037819347344
"204",204,203,64,250905600,0.089407496154308
"205",205,204,56,219542400,0.088634049652943
"206",206,205,64,250905600,0.092482550651766
"207",207,206,56,219542400,0.096343131868967
"208",208,207,64,250905600,0.100825759698637
"209",209,208,64,250905600,0.110288295312785
"210",210,209,56,219542400,0.105027223937213
"211",211,210,64,250905600,0.101285199052654
"212",212,211,56,219542400,0.097313756921462
"213",213,212,64,250905600,0.092569467029534
"214",214,213,56,219542400,0.089549907084022
"215",215,214,64,250905600,0.090359109221026
"216",216,215,56,219542400,0.087186876684427
"217",217,216,49,192099600,0.088056253991565
"218",218,217,56,219542400,0.091827241437776
"219",219,218,49,192099600,0.096475836573815
"220",220,219,56,219542400,0.099924006632396
"221",221,220,56,219542400,0.102964647114277
"222",222,221,49,192099600,0.104433557208703
"223",223,222,56,219542400,0.101751821514751
"224",224,223,49,192099600,0.098017172241698
"225",225,224,56,219542400,0.094230976887047
"226",226,225,49,192099600,0.091624359391174
"227",227,226,56,219542400,0.091181692800352
"228",228,227,56,219542400,0.086056719401053
"229",229,228,64,250905600,0.086428133654408
"230",230,229,56,219542400,0.085706181292023
"231",231,230,64,250905600,0.089835695573129
"232",232,231,56,219542400,0.093964426512165
"233",233,232,64,250905600,0.093250720994547
"234",234,233,64,250905600,0.09808568446897
"235",235,234,56,219542400,0.101296426861414
"236",236,235,64,250905600,0.101061272667721
"237",237,236,56,219542400,0.098648945934006
"238",238,237,64,250905600,0.095541048329324
"239",239,238,56,219542400,0.092369320004114
"240",240,239,56,219542400,0.084964875397938
"241",241,240,49,192099600,0.085593436141403
"242",242,241,56,219542400,0.086387960905475
"243",243,242,49,192099600,0.087111240594971
"244",244,243,56,219542400,0.089743979142181
"245",245,244,49,192099600,0.092821548787915
"246",246,245,56,219542400,0.093948268464633
"247",247,246,56,219542400,0.096637606620789
"248",248,247,49,192099600,0.09956795539783
"249",249,248,56,219542400,0.102088587624686
"250",250,249,49,192099600,0.099119638605994
"251",251,250,56,219542400,0.096346444849457
"252",252,251,64,250905600,0.083083069766872
"253",253,252,56,219542400,0.084068631088095
"254",254,253,64,250905600,0.0853965630522
"255",255,254,56,219542400,0.087271279389305
"256",256,255,64,250905600,0.089184309355915
"257",257,256,56,219542400,0.091182079698358
"258",258,257,64,250905600,0.092987046344206
"259",259,258,64,250905600,0.094847032334656
"260",260,259,56,219542400,0.096866377097155
"261",261,260,64,250905600,0.098397824098356
"262",262,261,56,219542400,0.097030538001231
"263",263,262,64,250905600,0.096796568483114
"264",264,263,56,219542400,0.080841634688633
"265",265,264,49,192099600,0.08218119050167
"266",266,265,56,219542400,0.083604051731527
"267",267,266,49,192099600,0.085620079873776
"268",268,267,56,219542400,0.087183404314731
"269",269,268,49,192099600,0.088543441526744
"270",270,269,56,219542400,0.090562402270734
"271",271,270,56,219542400,0.092216769898576
"272",272,271,49,192099600,0.093002748124453
"273",273,272,56,219542400,0.093517334200442
"274",274,273,49,192099600,0.093155366121506
"275",275,274,64,250905600,0.0774481005501
"276",276,275,56,219542400,0.08179119322449
"277",277,276,64,250905600,0.082222031545825
"278",278,277,56,219542400,0.083578557973461
"279",279,278,64,250905600,0.084592083236203
"280",280,279,56,219542400,0.085393054543861
"281",281,280,64,250905600,0.088540937169455
"282",282,281,64,250905600,0.091508890502155
"283",283,282,56,219542400,0.090477098045605
"284",284,283,64,250905600,0.088665663148277
"285",285,284,56,219542400,0.087352812556284
"286",286,285,64,250905600,0.070885560940951
"287",287,286,56,219542400,0.077413162083498
"288",288,287,64,250905600,0.080806021695025
"289",289,288,56,219542400,0.082612600177526
"290",290,289,64,250905600,0.083058630698361
"291",291,290,56,219542400,0.082566290162504
"292",292,291,64,250905600,0.085578693076968
"293",293,292,64,250905600,0.088939861161634
"294",294,293,56,219542400,0.088431625893073
"295",295,294,64,250905600,0.08551860274747
"296",296,295,56,219542400,0.07409613127155
"297",297,296,49,192099600,0.077353399322957
"298",298,297,56,219542400,0.080534363963774
"299",299,298,49,192099600,0.081799518088905
"300",300,299,56,219542400,0.081968092492649
"301",301,300,49,192099600,0.082902606348602
"302",302,301,56,219542400,0.084705373671438
"303",303,302,56,219542400,0.087058121870671
"304",304,303,49,192099600,0.087842390397374
"305",305,304,64,250905600,0.077812678879127
"306",306,305,56,219542400,0.07942138758621
"307",307,306,64,250905600,0.081056934432127
"308",308,307,56,219542400,0.081240806196417
"309",309,308,64,250905600,0.080548274796456
"310",310,309,56,219542400,0.082131888850459
"311",311,310,64,250905600,0.084006697870791
"312",312,311,64,250905600,0.086054887855425
"313",313,312,56,219542400,0.086880516260862
"314",314,313,56,219542400,0.079762524792126
"315",315,314,49,192099600,0.080536952128216
"316",316,315,56,219542400,0.081260224405144
"317",317,316,49,192099600,0.081555877869226
"318",318,317,56,219542400,0.081609412096441
"319",319,318,49,192099600,0.082083833612958
"320",320,319,56,219542400,0.08347155912114
"321",321,320,56,219542400,0.085543358033257
"322",322,321,64,250905600,0.080835092812777
"323",323,322,56,219542400,0.081126088542598
"324",324,323,64,250905600,0.081516308360733
"325",325,324,56,219542400,0.082088570243546
"326",326,325,64,250905600,0.082306040567346
